state,region
Alabama,South
Alaska,West
Arizona,West
Arkansas,South
California,West
Colorado,West
Connecticut,Northeast
Delaware,South
Florida,South
Georgia,South
Hawaii,West
Idaho,West
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Kentucky,South
Louisiana,South
Maine,Northeast
Maryland,South
Massachusetts,Northeast
Michigan,Midwest
Minnesota,Midwest
Mississippi,South
Missouri,Midwest
Montana,West
Nebraska,Midwest
Nevada,West
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,West
New York,Northeast
North Carolina,South
North Dakota,Midwest
Ohio,Midwest
Oklahoma,South
Oregon,West
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,South
South Dakota,Midwest
Tennessee,South
Texas,South
Utah,West
Vermont,Northeast
Virginia,South
Washington,West
West Virginia,South
Wisconsin,Midwest
Wyoming,West
D.C.,South